,mean_test_score,std_test_score,mean_train_score,std_train_score,randomforestregressor__n_estimators,randomforestregressor__max_depth,randomforestregressor__criterion,randomforestregressor__bootstrap
0,-0.001193705936068734,0.008782708739723255,0.006556813924910187,0.001707779261591502,40,16,squared_error,True
1,0.256551004702582,0.028722046970287247,0.4172217552406491,0.014365086628072002,40,16,squared_error,True
2,0.45335154991393845,0.026414129005543484,0.9129651771232409,0.0013111307165759555,40,16,squared_error,True
3,0.1440347774420968,0.038185472238943745,0.1744728563730376,0.013274801181854824,40,16,squared_error,True
4,0.4722141197683423,0.03094697291063036,0.9031849596543935,0.0019558070531097015,40,16,squared_error,True
5,0.1480317380278057,0.03867564565270924,0.22561791306770962,0.018345891494643427,40,16,squared_error,True
6,0.09203900007429362,0.034458960918660235,0.18738537965189606,0.02072549199337717,40,16,squared_error,True
7,0.14808793034057738,0.03813417487295655,0.22574563916080237,0.018335143058715683,40,16,squared_error,True
8,0.031100437649497638,0.012133759374423568,0.04711440511174976,0.00906965719347851,40,16,squared_error,True
9,-0.0021746085266479255,0.008326546559241742,0.0045489205552811775,0.0007607017923011485,40,16,squared_error,True
