,mean_test_score,std_test_score,mean_train_score,std_train_score,bayesianridge__alpha_1,bayesianridge__alpha_2,bayesianridge__lambda_1,bayesianridge__lambda_2
0,0.25857728310960704,0.030839620165191886,0.2676404657007366,0.007733396058437424,6.801426173174209e-05,59.22084142915835,9.969116383368368e-06,0.0004951313353217811
1,0.2590152777449859,0.03503990378748558,0.2701473381515634,0.007957727445599033,6.801426173174209e-05,59.22084142915835,9.969116383368368e-06,0.0004951313353217811
2,0.2597197447797844,0.03302925660618202,0.26990550051417417,0.007926396486731883,6.801426173174209e-05,59.22084142915835,9.969116383368368e-06,0.0004951313353217811
3,0.259182753158172,0.03470127891849715,0.2701420474876248,0.00795601908035689,6.801426173174209e-05,59.22084142915835,9.969116383368368e-06,0.0004951313353217811
4,0.2592197807637102,0.03462627871326604,0.27013984891030063,0.007955238164667935,6.801426173174209e-05,59.22084142915835,9.969116383368368e-06,0.0004951313353217811
5,-0.0012409317096289563,0.000839355645497131,4.3294379678493475e-05,2.2502991614206337e-06,6.801426173174209e-05,59.22084142915835,9.969116383368368e-06,0.0004951313353217811
6,0.25851588312685914,0.030827581672470385,0.2677025521546518,0.007789887813684566,6.801426173174209e-05,59.22084142915835,9.969116383368368e-06,0.0004951313353217811
7,0.009723464940525983,0.000992568476154919,0.011117632997088189,0.0005745170753617385,6.801426173174209e-05,59.22084142915835,9.969116383368368e-06,0.0004951313353217811
8,0.2589752130778605,0.035117652001592815,0.2701475082411141,0.00795779117366255,6.801426173174209e-05,59.22084142915835,9.969116383368368e-06,0.0004951313353217811
9,0.2597366576681254,0.032934075661066486,0.26987618230601235,0.00792247698910283,6.801426173174209e-05,59.22084142915835,9.969116383368368e-06,0.0004951313353217811
