,mean_test_score,std_test_score,mean_train_score,std_train_score,svr__C,svr__degree,svr__gamma,svr__kernel
0,0.017778869865105996,0.0029208056294421332,0.07249030482587804,0.0012463204480298274,28.809322503803244,2,0.0031317120316860306,rbf
1,0.25550922615856997,0.03427885603500703,0.26344856160227004,0.008028391316248244,28.809322503803244,2,0.0031317120316860306,rbf
2,-0.0015771066067837847,0.0017728450179095097,-0.000761072294042009,0.00039872621258309286,28.809322503803244,2,0.0031317120316860306,rbf
3,0.2555263296792596,0.03450158721832946,0.2633375197445041,0.008080161046208938,28.809322503803244,2,0.0031317120316860306,rbf
4,0.32839164252756786,0.03766851311138519,0.355824130623387,0.008096253559757623,28.809322503803244,2,0.0031317120316860306,rbf
5,0.25130622986895884,0.028545156576547305,0.2575181481148265,0.007715030368210706,28.809322503803244,2,0.0031317120316860306,rbf
6,-103104.18658539037,8990.527634682543,-103420.60729124068,3145.1708288062837,28.809322503803244,2,0.0031317120316860306,rbf
7,0.2551945264744112,0.03149916609327541,0.26285733860677307,0.0077096654581428935,28.809322503803244,2,0.0031317120316860306,rbf
8,0.255497677233289,0.03451733782367469,0.26341216996698136,0.008090825087960319,28.809322503803244,2,0.0031317120316860306,rbf
9,-0.0008553597378353039,0.0017388095566607238,0.0017773016214618132,0.0003830117837643786,28.809322503803244,2,0.0031317120316860306,rbf
